Date,Close Price,log.return
2016-08-30,576,0.006339497
2016-08-31,572.33,-0.006391913
2016-09-01,571.69,-0.001118862
2016-09-02,574.15,0.0042938
2016-09-03,598.38,0.041335317
2016-09-04,608.92,0.017460893
2016-09-05,606.03,-0.004757406
2016-09-06,611.07,0.008282029
2016-09-07,614.79,0.006069227
2016-09-08,624.95,0.0163909
2016-09-09,621.8,-0.005053149
2016-09-10,622.21,0.000659159
2016-09-11,605.81,-0.026711251
2016-09-12,606.31,0.000825001
2016-09-13,606.92,0.00100558
2016-09-14,608.22,0.002139672
2016-09-15,605.21,-0.004961153
2016-09-16,606.33,0.001848887
2016-09-17,605.29,-0.00171671
2016-09-18,608.7,0.005617853
2016-09-19,608.53,-0.000279323
2016-09-20,599.47,-0.015000281
2016-09-21,595.8,-0.006140891
2016-09-22,595.03,-0.001293216
2016-09-23,601.71,0.011163777
2016-09-24,601.34,-0.000615103
2016-09-25,599.18,-0.003598445
2016-09-26,606.81,0.012653673
2016-09-27,604.76,-0.003384042
2016-09-28,603.52,-0.002052505
2016-09-29,605.06,0.002548447
2016-09-30,608.44,0.005570678
2016-10-01,613.93,0.008982611
2016-10-02,610.29,-0.005946661
2016-10-03,612.34,0.00335343
2016-10-04,609.37,-0.004862047
2016-10-05,610.88,0.002474904
2016-10-06,610.9,3.27391E-05
2016-10-07,616.49,0.009108822
2016-10-08,616.6,0.000178414
2016-10-09,614.62,-0.003216325
2016-10-10,617.42,0.004545315
2016-10-11,639.37,0.034933811
2016-10-12,635.08,-0.006732341
2016-10-13,635.02,-9.44807E-05
2016-10-14,638.37,0.005261558
2016-10-15,637.37,-0.001567718
2016-10-16,639.83,0.003852181
2016-10-17,636.92,-0.004558457
2016-10-18,635.51,-0.002216233
2016-10-19,628.15,-0.011648835
2016-10-20,628.62,0.000747949
2016-10-21,630.15,0.002430946
2016-10-22,652.71,0.03517504
2016-10-23,649.24,-0.005330478
2016-10-24,648.4,-0.001294658
2016-10-25,652.89,0.006900872
2016-10-26,674.36,0.032355431
2016-10-27,686.52,0.017871265
2016-10-28,688.1,0.002298818
2016-10-29,712.87,0.035364899
2016-10-30,696.35,-0.023446668
2016-10-31,697.37,0.001463709
2016-11-01,729.27,0.044727917
2016-11-02,742.46,0.017924963
2016-11-03,687.51,-0.076892622
2016-11-04,702.54,0.021625964
2016-11-05,704.16,0.002303264
2016-11-06,712.24,0.01140933
2016-11-07,704.02,-0.011608168
2016-11-08,709.15,0.007260305
2016-11-09,721.19,0.016835556
2016-11-10,713.67,-0.010481955
2016-11-11,716.56,0.004041314
2016-11-12,703.55,-0.018323037
2016-11-13,702.5,-0.001493546
2016-11-14,706.39,0.005522092
2016-11-15,711.96,0.007854237
2016-11-16,742.07,0.041421848
2016-11-17,735.41,-0.009015412
2016-11-18,749.68,0.019218282
2016-11-19,750.63,0.001266405
2016-11-20,728.61,-0.029774244
2016-11-21,736.72,0.011069292
2016-11-22,748.22,0.015489151
2016-11-23,741.6,-0.008887038
2016-11-24,736.4,-0.007036565
2016-11-25,738.28,0.002549707
2016-11-26,732.82,-0.007423051
2016-11-27,728.42,-0.006022301
2016-11-28,731.75,0.004561121
2016-11-29,731.76,1.36658E-05
2016-11-30,742.01,0.013910129
2016-12-01,753.25,0.015034458
2016-12-02,771.41,0.023822831
2016-12-03,764.97,-0.008383392
2016-12-04,766.46,0.001945894
2016-12-05,750.71,-0.020763086
2016-12-06,758.81,0.010731991
2016-12-07,763.9,0.006685474
2016-12-08,766.75,0.003723912
2016-12-09,770.41,0.004762038
2016-12-10,773.21,0.00362784
2016-12-11,768.62,-0.005953981
2016-12-12,777.91,0.012014137
2016-12-13,775.25,-0.003425278
2016-12-14,776.64,0.001791365
2016-12-15,775.48,-0.00149473
2016-12-16,780.85,0.006900877
2016-12-17,788.58,0.00985079
2016-12-18,788.59,1.26809E-05
2016-12-19,790.16,0.001988916
2016-12-20,798.78,0.010850107
2016-12-21,833.1,0.042068119
2016-12-22,858.74,0.030312516
2016-12-23,916.79,0.06541224
2016-12-24,894.2,-0.024948975
2016-12-25,894.48,0.00031308
2016-12-26,902.55,0.008981546
2016-12-27,931.11,0.031153332
2016-12-28,978.01,0.049142472
2016-12-29,969.62,-0.008615653
2016-12-30,960.47,-0.009481494
2016-12-31,968.23,0.008046914
2017-01-01,997.69,0.029972944
2017-01-02,1018.05,0.020201705
2017-01-03,1030.82,0.012465569
2017-01-04,1129.87,0.09174798
2017-01-05,1005.81,-0.116309395
2017-01-06,895.67,-0.115976424
2017-01-07,905.17,0.01055073
2017-01-08,913.52,0.009182498
2017-01-09,899.35,-0.015632989
2017-01-10,904.79,0.006030592
2017-01-11,775.98,-0.153576126
2017-01-12,802.83,0.034016239
2017-01-13,826.12,0.028597056
2017-01-14,818.64,-0.009095615
2017-01-15,822.42,0.004606787
2017-01-16,830.26,0.009487691
2017-01-17,904.45,0.085588119
2017-01-18,884.25,-0.022587196
2017-01-19,898.02,0.015452512
2017-01-20,891.62,-0.007152307
2017-01-21,920.01,0.031344507
2017-01-22,925.33,0.005765891
2017-01-23,912.69,-0.013754148
2017-01-24,885.65,-0.030074444
2017-01-25,894.11,0.009506971
2017-01-26,915.1,0.023204539
